iter	Passed	Remaining
399	28575	42863
400	28646	42790
401	28718	42720
402	28783	42638
403	28856	42570
404	28925	42495
405	28992	42417
406	29061	42342
407	29126	42262
408	29199	42193
409	29267	42116
410	29336	42041
411	29412	41977
412	29478	41898
413	29553	41832
414	29632	41771
415	29699	41694
416	29769	41620
417	29837	41543
418	29909	41473
419	30005	41436
420	30079	41368
421	30147	41292
422	30219	41221
423	30286	41143
424	30354	41067
425	30426	40996
426	30494	40920
427	30572	40858
428	30644	40787
429	30710	40709
430	30779	40634
431	30846	40557
432	30912	40478
433	30982	40405
434	31052	40332
435	31118	40253
436	31192	40186
437	31260	40110
438	31327	40033
439	31399	39962
440	31468	39889
441	31537	39814
442	31609	39743
443	31679	39670
444	31751	39600
445	31818	39523
446	31888	39450
447	31955	39374
448	32025	39301
449	32092	39223
450	32160	39148
451	32233	39079
452	32303	39006
453	32372	38932
454	32438	38855
455	32506	38779
456	32578	38708
457	32652	38641
458	32725	38571
459	32791	38494
460	32857	38416
461	32926	38343
462	32993	38267
463	33061	38191
464	33138	38126
465	33207	38053
466	33275	37977
467	33346	37906
468	33415	37832
469	33480	37754
470	33552	37684
471	33623	37612
472	33691	37537
473	33759	37462
474	33828	37389
475	33897	37316
476	33967	37243
477	34042	37175
478	34119	37111
479	34195	37045
480	34270	36977
481	34340	36905
482	34408	36830
483	34481	36761
484	34552	36689
485	34620	36614
486	34686	36538
487	34758	36468
488	34825	36392
489	34891	36316
490	34961	36242
491	35028	36167
492	35110	36107
493	35176	36031
494	35245	35957
495	35315	35885
496	35386	35813
497	35457	35742
498	35529	35672
499	35603	35603
500	35673	35531
501	35751	35466
502	35826	35399
503	35907	35337
504	35984	35271
505	36067	35211
506	36142	35144
507	36219	35079
508	36287	35004
509	36355	34929
510	36428	34859
511	36494	34784
512	36571	34717
513	36641	34645
514	36725	34586
515	36795	34513
516	36867	34443
517	36940	34373
518	37005	34296
519	37073	34221
520	37144	34150
521	37212	34076
522	37287	34007
523	37354	33932
524	37424	33859
525	37492	33785
526	37563	33714
527	37629	33638
528	37694	33561
529	37761	33486
530	37830	33413
531	37897	33337
532	37967	33266
533	38039	33195
534	38107	33121
535	38174	33046
536	38242	32972
537	38310	32898
538	38375	32821
539	38441	32746
540	38515	32677
541	38587	32606
542	38652	32530
543	38721	32457
544	38796	32390
545	38874	32323
546	38943	32250
547	39014	32179
548	39082	32106
549	39153	32035
550	39224	31963
551	39293	31890
552	39363	31818
553	39430	31743
554	39495	31667
555	39567	31596
556	39643	31529
557	39712	31457
558	39779	31382
559	39844	31306
560	39912	31233
561	39982	31160
562	40053	31089
563	40121	31015
564	40189	30942
565	40262	30872
566	40328	30797
567	40395	30723
568	40462	30649
569	40528	30574
570	40601	30504
571	40668	30430
572	40734	30355
573	40805	30283
574	40873	30210
575	40942	30138
576	41007	30063
577	41077	29990
578	41145	29917
579	41217	29846
580	41287	29775
581	41360	29705
582	41431	29634
583	41501	29562
584	41573	29492
585	41641	29419
586	41712	29347
587	41782	29276
588	41850	29203
589	41922	29132
590	41991	29060
591	42056	28984
592	42123	28911
593	42188	28835
594	42256	28762
595	42325	28690
596	42396	28619
597	42462	28545
598	42530	28472
599	42604	28403
600	42671	28329
601	42742	28258
602	42807	28183
603	42873	28109
604	42937	28033
605	43007	27962
606	43075	27889
607	43142	27815
608	43209	27741
609	43278	27670
610	43354	27602
611	43425	27531
612	43499	27462
613	43571	27391
614	43641	27320
615	43710	27247
616	43780	27176
617	43845	27101
618	43918	27032
619	43989	26961
620	44057	26888
621	44128	26817
622	44198	26745
623	44264	26672
624	44329	26597
625	44401	26527
626	44477	26459
627	44544	26386
628	44621	26318
629	44689	26246
630	44769	26180
631	44838	26108
632	44908	26037
633	44974	25962
634	45039	25888
635	45109	25817
636	45187	25750
637	45255	25678
638	45319	25603
639	45387	25530
640	45462	25462
641	45535	25391
642	45606	25321
643	45671	25246
644	45743	25176
645	45811	25103
646	45876	25030
647	45950	24960
648	46019	24889
649	46088	24816
650	46156	24744
651	46225	24672
652	46299	24603
653	46381	24538
654	46449	24465
655	46521	24395
656	46595	24325
657	46660	24252
658	46732	24181
659	46798	24108
660	46867	24036
661	46933	23963
662	47000	23890
663	47066	23816
664	47135	23744
665	47211	23676
666	47287	23608
667	47358	23537
668	47424	23464
669	47493	23392
670	47566	23322
671	47643	23254
672	47718	23185
673	47791	23115
674	47859	23043
675	47923	22969
676	47997	22899
677	48066	22827
678	48132	22755
679	48198	22681
680	48267	22609
681	48370	22553
682	48451	22487
683	48529	22419
684	48612	22354
685	48684	22284
686	48759	22215
687	48843	22149
688	48920	22081
689	48999	22014
690	49071	21943
691	49153	21877
692	49234	21810
693	49306	21740
694	49376	21668
695	49452	21600
696	49533	21533
697	49617	21467
698	49695	21399
699	49763	21327
700	49831	21254
701	49909	21186
702	49976	21114
703	50043	21040
704	50109	20967
705	50181	20897
706	50262	20830
707	50343	20763
708	50417	20693
709	50483	20620
710	50552	20547
711	50619	20475
712	50687	20402
713	50753	20329
714	50820	20257
715	50887	20184
