iter	MultiClass
173	0.5474788658
174	0.5469618179
175	0.5464544568
176	0.5459885384
177	0.5454162729
178	0.5448885104
179	0.5443876751
180	0.5439646691
181	0.5434399797
182	0.5429499147
183	0.5425031904
184	0.5419833742
185	0.5415094992
186	0.5411659417
187	0.5406952952
188	0.5402816743
189	0.5397920317
190	0.539310835
191	0.5389003079
192	0.5384049118
193	0.5379710508
194	0.5374683856
195	0.5370365921
196	0.5366392319
197	0.5362075389
198	0.5357757306
199	0.5353743539
200	0.5349486121
201	0.5345275768
202	0.5341536089
203	0.5337345235
204	0.5333728676
205	0.5330387919
206	0.5326983884
207	0.5322338239
208	0.5318409449
209	0.5314314242
210	0.531054455
211	0.5306623912
212	0.5302382721
213	0.5299173131
214	0.5297011325
215	0.529366784
216	0.5290451153
217	0.5286833124
218	0.5283275892
219	0.5279788555
220	0.5275750202
221	0.5272084353
222	0.526835525
223	0.5264641061
224	0.5261716644
225	0.5258168086
226	0.5254504389
227	0.5251210876
228	0.524771035
229	0.5244497647
230	0.5240984073
231	0.52377368
232	0.5234513134
233	0.5231407378
234	0.5228262028
235	0.522599128
236	0.5223211883
237	0.5220172924
238	0.5217598184
239	0.521489726
240	0.5212039417
241	0.5209282048
242	0.5205557432
243	0.5202689845
244	0.5199434837
245	0.5196220046
246	0.5193247301
247	0.5190422731
248	0.5187876868
249	0.51850083
250	0.5181826453
251	0.5179974396
252	0.5177783024
253	0.5175196069
254	0.5173535096
255	0.5170839021
256	0.5168035912
257	0.5165393054
258	0.5162711097
259	0.5161488444
260	0.5158998751
261	0.5156251786
262	0.515442052
263	0.5151813278
264	0.5149312359
265	0.5146859307
266	0.5144946634
267	0.5142321955
268	0.5140009558
269	0.513740778
270	0.5135078407
271	0.5133335617
272	0.5131056217
273	0.5128737365
274	0.5127685189
275	0.5125515955
276	0.5124488125
277	0.5122591459
278	0.5120308354
279	0.5117985989
280	0.5115315742
281	0.5112845878
282	0.5110515528
283	0.5109532376
284	0.5107536052
285	0.510511279
286	0.5103351154
287	0.5101326817
288	0.5098654759
289	0.5096367996
290	0.5094117718
291	0.5092306224
292	0.5090064179
293	0.5088056945
294	0.5086084145
295	0.5084199491
296	0.5083292576
297	0.5082437918
298	0.5081205989
299	0.5079020142
300	0.5076868719
301	0.5074478484
302	0.5072182843
303	0.5070443119
304	0.5068272192
305	0.5066338591
306	0.5064273143
307	0.5062712557
308	0.5060702023
309	0.5059238571
310	0.5057768833
311	0.5056948232
312	0.5054863357
313	0.5053458021
314	0.5051366508
315	0.5049501808
316	0.5048795311
317	0.5047968149
318	0.5047082429
319	0.5045171808
320	0.5042862056
321	0.5041617623
322	0.5040885903
323	0.5039161249
324	0.5038417393
325	0.5036545039
326	0.5034723867
327	0.5032985957
328	0.5032296306
329	0.5030979835
330	0.5029212522
331	0.5028633776
332	0.5028094997
333	0.5027327273
334	0.5025726707
335	0.5023960612
336	0.5022250401
337	0.502041164
338	0.5018283586
339	0.5016718123
340	0.5015031498
341	0.5013027015
342	0.5011333752
343	0.5010126384
344	0.5008640504
345	0.5006898122
346	0.5005242485
347	0.5003667252
348	0.5002900761
349	0.5001730949
350	0.5000101915
351	0.4998804732
352	0.4997113066
353	0.4996296783
354	0.499568051
355	0.4994808597
356	0.4993374734
357	0.4992818396
358	0.4992034526
359	0.4990746165
360	0.4990011338
361	0.4989365396
362	0.4988022558
363	0.4986556318
364	0.4986037735
365	0.4985270831
366	0.4984635525
367	0.4983983914
368	0.4982520563
369	0.4981978063
370	0.4980332817
371	0.4978693806
372	0.4977253556
373	0.4976576343
374	0.4976008941
375	0.4974385422
376	0.4973089447
377	0.497190327
378	0.4971389306
379	0.4970619405
380	0.4969626982
381	0.4968079632
382	0.4966629104
383	0.4966071272
384	0.496546584
385	0.4963828805
386	0.4963239323
387	0.4962602743
388	0.496203951
389	0.4961452964
390	0.4960372107
391	0.4959931241
392	0.4958524185
393	0.4958011951
394	0.4957321437
395	0.4956167298
396	0.4954774994
397	0.4954015977
398	0.4953340251
399	0.4952041563
400	0.4950729485
401	0.4950254563
402	0.4949420106
403	0.4948115125
404	0.4947129211
405	0.4945904367
406	0.4944468393
407	0.4943071945
408	0.4942503736
409	0.4941992537
410	0.4941546191
411	0.4940361581
412	0.4939968823
413	0.4939292979
414	0.4938739185
415	0.4938036249
416	0.4937508711
417	0.4936448353
418	0.4936024814
419	0.4935459155
420	0.4935024473
421	0.4934555222
422	0.4933206199
423	0.4932047678
424	0.4931430833
425	0.4930967346
426	0.4929777114
427	0.4928431619
428	0.492715147
429	0.492607613
430	0.4925063254
431	0.4923777626
432	0.4922697407
433	0.4922245786
434	0.4921048863
435	0.4919918773
436	0.491875969
437	0.491824082
438	0.4917596124
439	0.4916287974
440	0.4915191729
441	0.4914744266
442	0.4914238126
443	0.4912961538
444	0.4912531648
445	0.4911557226
446	0.4910078245
447	0.4909581649
448	0.490843372
449	0.490729971
450	0.4906764532
451	0.4905767457
452	0.4905099371
453	0.4904483289
454	0.4903746564
455	0.4903216351
456	0.4902308835
457	0.4901127592
458	0.4900675278
459	0.4899917721
460	0.489877528
461	0.4898276842
462	0.4897130971
463	0.4896409006
464	0.4895114555
465	0.489394688
466	0.4893276702
467	0.489281463
468	0.489232733
469	0.4891892447
470	0.4891479908
471	0.4890901083
472	0.4890461096
473	0.4890105945
474	0.4889722599
475	0.4889317431
476	0.4888800064
477	0.4888071042
478	0.4887311235
479	0.4886884454
480	0.4886365017
481	0.4885989181
482	0.4885633862
483	0.488482922
484	0.4884215056
485	0.4883347491
486	0.4882634582
487	0.4882036486
488	0.4881609779
489	0.4880764492
490	0.48801236
491	0.4879507675
492	0.4879138369
493	0.4878752522
494	0.4878285173
495	0.4877540266
496	0.4877145478
497	0.4876519626
498	0.4875671805
499	0.4875277936
